[2022-11-21-17:13:23 +0800] 123.60.114.12 <GET /static/css/chunk-69c2ef19.9cb1bdd1.css HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.002590
[2022-11-21-17:13:23 +0800] 123.60.114.12 <GET /static/fonts/element-icons.535877f5.woff HTTP/1.1> 200 0 <http://192.168.88.9:10004/static/css/app.b6f1f0bb.css> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.002148
[2022-11-21-17:13:23 +0800] 123.60.114.12 <GET /static/img/nodata.8290bed9.png HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001673
[2022-11-21-17:13:23 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001034
[2022-11-21-17:13:23 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001404
[2022-11-21-17:13:33 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001461
[2022-11-21-17:13:33 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001406
[2022-11-21-17:13:43 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.002422
[2022-11-21-17:13:43 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001822
[2022-11-21-17:13:53 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.002521
[2022-11-21-17:13:53 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001901
[2022-11-21-17:13:58 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.002490
[2022-11-21-17:13:58 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001859
