op_name, stream_id, start_time(ms), duration(ms)
Default/Tile-op107,1,1794817913.224000,0.08
Default/Cast-op108,1,1794817913.397000,1.695
Default/Cast-op113,1,1794817916.192000,0.242
Default/Tile-op111,1,1794817916.524000,0.09
Default/Cast-op112,1,1794817916.702000,1.539
Default/Stack-op114,1,1794817918.540000,0.369
Default/TensorMove-op115,1,1794817920.200000,0.064
Default/ScatterNdUpdate-op116,1,1794817920.394000,95.405
Default/Mul-op103,1,1794818016.274000,0.053
Default/Cos-op117,1,1794818016.569000,0.06
Default/Cast-op109,1,1794818022.876000,0.266
Default/Tile-op107,1,1794818023.232000,0.056
Default/Cast-op108,1,1794818023.376000,1.691
Default/Cast-op113,1,1794818026.167000,0.216
Default/Tile-op111,1,1794818026.471000,0.084
Default/Cast-op112,1,1794818026.646000,1.597
Default/Stack-op114,1,1794818028.541000,0.365
Default/TensorMove-op118,1,1794818029.448000,0.087
Default/ScatterNdUpdate-op119,1,1794818029.674000,96.28
Default/Add-op97,1,1794819775.044000,0.078
Default/Mul-op99,1,1794819776.262000,0.06
Default/Add-op100,1,1794819776.678000,0.055
Default/Mul-op101,1,1794819777.258000,0.056
Default/Exp-op102,1,1794819777.716000,0.078
Default/Mul-op103,1,1794819778.241000,0.055
Default/Sin-op104,1,1794819778.536000,0.062
Default/Cast-op109,1,1794819784.814000,0.274
Default/Tile-op107,1,1794819785.182000,0.056
Default/Cast-op108,1,1794819785.333000,1.052
Default/Cast-op113,1,1794819787.487000,0.166
Default/Tile-op111,1,1794819787.741000,0.091
Default/Cast-op112,1,1794819787.919000,0.959
Default/Stack-op114,1,1794819789.182000,0.368
Default/TensorMove-op115,1,1794819790.958000,0.067
Default/ScatterNdUpdate-op116,1,1794819791.174000,95.407
Default/Mul-op103,1,1794819887.333000,0.099
Default/Cos-op117,1,1794819887.695000,0.061
Default/Cast-op109,1,1794819894.209000,0.237
Default/Tile-op107,1,1794819894.537000,0.055
Default/Cast-op108,1,1794819894.696000,0.997
Default/Cast-op113,1,1794819896.799000,0.17
Default/Tile-op111,1,1794819897.061000,0.085
Default/Cast-op112,1,1794819897.236000,1.067
Default/Stack-op114,1,1794819898.605000,0.366
Default/TensorMove-op118,1,1794819899.525000,0.088
Default/ScatterNdUpdate-op119,1,1794819899.775000,96.281
Default/Add-op97,1,1794820143.909000,0.057
Default/Mul-op99,1,1794820145.094000,0.058
Default/Add-op100,1,1794820145.519000,0.057
Default/Mul-op101,1,1794820146.103000,0.06
