op_name, stream_id, start_time(ms), duration(ms)
Default/Cast-op131,2,1201587977.994000,0.748
Default/Cast-op132,2,1201587980.645000,0.055
Default/Abs-op133,2,1201587982.068000,0.721
Default/Abs-op134,2,1201587983.609000,0.047
Default/GreaterEqual-op135,2,1201587985.038000,0.719
Default/Cast-op136,2,1201587987.552000,0.738
Default/Identity-op138,2,1201587989.542000,4.323
Default/Identity-op140,2,1201587995.129000,0.29
Default/Identity-op142,2,1201587996.947000,0.206
Default/Cast-op143,2,1201587999.260000,0.171
Default/Select-op144,2,1201588000.832000,0.789
Default/Cast-op145,2,1201588003.684000,0.051
Default/Identity-op147,2,1201588005.228000,0.274
Default/Identity-op147,2,1201588007.637000,0.28
Default/Identity-op147,2,1201588029.084000,0.209
Default/Cast-op143,2,1201588029.412000,0.158
Default/Select-op144,2,1201588030.113000,0.069
Default/Cast-op149,2,1201591849.424000,0.111
Default/Equal-op150,2,1201591850.896000,1.233
Default/Cast-op151,2,1201591854.313000,0.065
Default/Identity-op153,2,1201591855.865000,0.289
Default/Identity-op155,2,1201591867.830000,0.262
Default/Identity-op157,2,1201591885.992000,0.214
Default/Cast-op158,2,1201591902.136000,0.169
Default/Select-op159,2,1201591910.945000,0.072
Default/RealDiv-op160,2,1201591916.987000,6.114
Default/Floor-op161,2,1201591927.200000,6.397
Default/Mul-op162,2,1201591939.165000,5.193
Default/Sub-op163,2,1201591945.190000,4.879
Default/ReduceSum-op164,2,1201591962.352000,5.898
Default/Cast-op165,2,1201591979.279000,0.067
Default/Greater-op166,2,1201591980.689000,4.383
Default/RealDiv-op160,2,1201592179.264000,0.09
Default/Floor-op161,2,1201592180.399000,0.054
Default/Mul-op162,2,1201592181.457000,0.049
Default/Sub-op163,2,1201592182.821000,0.071
Default/Cast-op165,2,1201592183.902000,0.054
Default/Equal-op150,2,1201592184.390000,0.051
Default/Cast-op151,2,1201592185.735000,0.048
Default/Identity-op157,2,1201592186.846000,0.238
Default/Identity-op157,2,1201592268.804000,0.237
Default/Identity-op157,2,1201592302.459000,0.568
Default/Cast-op158,2,1201592304.159000,0.191
Default/Select-op159,2,1201592304.918000,0.071
Default/Cast-op151,2,1201592305.571000,0.054
Default/Identity-op157,2,1201592371.121000,0.227
Default/Identity-op157,2,1201592396.849000,0.264
Default/Identity-op157,2,1201592441.022000,0.229
Default/Cast-op158,2,1201592442.552000,0.148
Default/Select-op159,2,1201592443.747000,0.074
Default/ReduceSum-op164,2,1201592445.212000,0.088
Default/Cast-op165,2,1201592446.641000,0.052
Default/Greater-op166,2,1201592448.007000,0.053
Default/RealDiv-op160,2,1201592555.723000,0.111
Default/Floor-op161,2,1201592556.772000,0.05
Default/Mul-op162,2,1201592557.343000,0.053
Default/Sub-op163,2,1201592558.634000,0.053
Default/Cast-op165,2,1201592559.146000,0.055
Default/Equal-op150,2,1201592560.516000,0.053
Default/Cast-op151,2,1201592561.058000,0.055
Default/Identity-op157,2,1201592562.254000,0.202
Default/Identity-op157,2,1201592629.662000,0.248
Default/Identity-op157,2,1201592663.569000,0.19
Default/Cast-op158,2,1201592664.783000,0.143
Default/Select-op159,2,1201592666.297000,0.069
Default/Cast-op151,2,1201592667.732000,0.059
Default/Identity-op157,2,1201592724.660000,0.217
Default/Identity-op157,2,1201592757.076000,0.211
Default/Identity-op157,2,1201592783.513000,0.193
Default/Cast-op158,2,1201592784.787000,0.145
Default/Select-op159,2,1201592786.331000,0.075
Default/ReduceSum-op164,2,1201592787.534000,0.082
Default/Cast-op165,2,1201592788.858000,0.058
Default/Greater-op166,2,1201592789.627000,0.053
Default/Cast-op168,2,1201594219.528000,0.24
Default/FloorDiv-op169,2,1201594219.945000,0.394
Default/FloorDiv-op170,2,1201594220.533000,0.055
Default/Mul-op171,2,1201594221.104000,0.062
Default/LessEqual-op172,2,1201594221.879000,0.209
Default/FloorDiv-op170,2,1201594224.228000,0.069
Default/FloorDiv-op170,2,1201594225.128000,0.061
Default/Mul-op173,2,1201594661.119000,0.098
Default/Equal-op174,2,1201594661.360000,0.15
Default/Sub-op175,2,1201595678.192000,0.509
Default/Add-op176,2,1201595689.655000,0.114
Default/StridedSlice-op178,2,1201605660.066000,1.951
Default/Pad-op179,2,1201629952.041000,0.251
Default/Cast-op186,2,1201629952.874000,0.127
Default/TransData-op182,2,1201629953.114000,0.175
Default/Cast-op185,2,1201629953.430000,0.141
Default/Conv2D-op181,2,1201629953.690000,0.117
Default/TransData-op188,2,1201629953.978000,0.1
Default/Cast-op196,2,1201655449.979000,0.039
Default/TransData-op191,2,1201655450.152000,0.195
Default/Cast-op195,2,1201655450.491000,0.123
Default/Conv2DBackpropInput-op190,2,1201655450.762000,0.147
Default/Cast-op194,2,1201655451.024000,0.1
Default/TransData-op198,2,1201655451.290000,0.107
Default/Pad-op199,2,1201655451.587000,0.123
Default/StridedSlice-op200,2,1201655452.066000,0.159
Default/Add-op201,2,1201655452.688000,0.036
Default/StridedSlice-op202,2,1201655453.074000,0.121
Default/Pad-op203,2,1201678190.014000,0.506
Default/Cast-op210,2,1201678192.049000,0.065
Default/TransData-op206,2,1201678192.422000,0.294
Default/Cast-op209,2,1201678192.868000,0.35
Default/Conv2D-op205,2,1201678193.385000,0.15
Default/TransData-op212,2,1201678194.430000,0.065
Default/Cast-op196,2,1201678200.666000,0.158
Default/TransData-op191,2,1201678202.998000,0.063
Default/Cast-op195,2,1201678204.248000,0.051
Default/Conv2DBackpropInput-op190,2,1201678205.119000,0.066
Default/Cast-op194,2,1201678206.367000,0.049
Default/TransData-op198,2,1201678208.724000,0.063
Default/Pad-op213,2,1201687051.776000,0.572
Default/StridedSlice-op214,2,1201687054.132000,0.443
Default/Add-op215,2,1201687054.712000,0.062
Default/StridedSlice-op216,2,1201687055.042000,0.101
Default/Pad-op217,2,1201702235.939000,0.643
Default/Cast-op224,2,1201702238.555000,0.065
Default/TransData-op220,2,1201702239.487000,0.868
Default/Cast-op223,2,1201702241.520000,0.457
Default/Conv2D-op219,2,1201702242.807000,0.47
Default/TransData-op226,2,1201702244.164000,0.058
Default/Cast-op196,2,1201702620.621000,0.088
Default/TransData-op191,2,1201702622.095000,0.069
Default/Cast-op195,2,1201702623.542000,0.052
Default/Conv2DBackpropInput-op190,2,1201702624.950000,0.071
Default/Cast-op194,2,1201702626.410000,0.05
Default/TransData-op198,2,1201702627.895000,0.064
