full_op_name,execution_time
Conv2D-op931,4.384
BiasAdd-op937,0.935
TransData-op941,1.155
Tanh-op942,0.756
Cast-op949,0.075
TransData-op945,0.309
Cast-op948,0.081
Conv2D-op944,0.075
BiasAdd-op950,0.082
TransData-op954,0.159
Sigmoid-op955,0.154
Mul-op956,0.114
Cast-op963,0.03
TransData-op959,0.298
Cast-op962,0.067
Conv2D-op958,0.067
TransData-op965,0.157
ReLU-op967,0.136
TransposeNOD-op969,3.289
Stack-op970,8.806
Mul-op971,6.646
StridedSlice-op972,9.975
Cast-op980,0.029
TransData-op975,0.301
Cast-op979,32.831
Conv2DBackpropInput-op974,3.04
Cast-op978,15.539
TransData-op982,9.679
StridedSlice-op986,0.569
Cast-op994,0.079
TransData-op989,0.346
Cast-op993,0.079
Conv2DBackpropInput-op988,1.76
Cast-op992,0.136
TransData-op996,0.121
Concat-op1000,1.003
Pad-op1001,0.544
StridedSlice-op1002,1.071
StridedSlice-op1003,0.185
Tile-op1005,2.011
Tile-op1007,1.673
StridedSlice-op1008,0.526
Less-op1009,2.136
StridedSlice-op1010,0.814
Less-op1011,0.0715
Mul-op1012,0.278
Cast-op1013,0.146
RealDiv-op1014,0.144
Cast-op1015,0.146
Cast-op1017,0.139
ReduceSum-op1018,0.411
RealDiv-op1019,0.162
ReduceSum-op1020,0.184
RealDiv-op1021,0.06
Sub-op1022,0.149
Sub-op1023,0.067
Mul-op1024,0.075
Mul-op1025,0.096
Mul-op1026,0.16
ReduceSum-op1027,0.272
Pow-op1028,0.156
ReduceSum-op1029,0.168
Add-op1030,0.149
Mul-op1031,0.127
RealDiv-op1032,0.129
Sub-op1037,1.307
Pow-op1038,0.151
ReduceSum-op1039,0.595
Pow-op1040,0.079
ReduceSum-op1041,0.165
Add-op1042,0.204
RealDiv-op1043,0.257
Add-op1044,0.059
Log-op1045,0.195
Log-op1046,0.113
RealDiv-op1047,0.167
Mul-op1048,0.129
Neg-op1050,0.238
ReduceMean-op1051,0.166
Stack-op1054,46.9165
GatherNd-op1055,12.3515
ReduceMean-op1056,9.0605
Stack-op1061,0.352
ReduceMean-op1062,0.325
